Order_Number,Product_ID,Product_Name,Category,Quantity,Unit_Price,Line_Total
O700001,P1169,Phlox Collection,Perennials,1,21.57,21.57
O700001,P1164,Cucumber Heirloom,Vegetable Seeds,2,3.88,7.76
O700002,P1216,Cucumber Pro,Vegetable Seeds,1,3.94,3.94
O700003,P1069,Pepper Organic,Vegetable Seeds,1,7.76,7.76
O700003,P1188,Bone Meal Mix,Soil & Fertilizer,2,8.41,16.82
O700003,P1294,Metal Raised Bed Classic,Raised Beds,2,161.6,323.2
O700003,P1147,Zucchini Mix,Vegetable Seeds,2,6.58,13.16
O700004,P1278,Grape Mix,Fruit Plants,1,14.64,14.64
O700005,P1150,Bean Organic,Vegetable Seeds,1,8.88,8.88
O700005,P1200,Blueberry Starter,Fruit Plants,1,38.59,38.59
O700006,P1021,Knock Out Rose Collection,Roses,3,40.63,121.89
O700006,P1055,Slug Control Collection,Pest Control,2,10.16,20.32
O700007,P1045,Lavender Pro,Perennials,1,22.34,22.34
O700007,P1173,Neem Oil Pro,Pest Control,1,12.1,12.1
O700008,P1064,Gloves Classic,Garden Tools,3,38.67,116.01
O700008,P1134,Carrot Heirloom,Vegetable Seeds,2,3.66,7.32
O700008,P1212,Organic Fertilizer Starter,Soil & Fertilizer,3,25.01,75.03
O700009,P1071,Kale Mix,Vegetable Seeds,3,8.06,24.18
O700009,P1274,Tomato Heirloom,Vegetable Seeds,3,4.55,13.65
O700009,P1092,Cosmos Classic,Flower Seeds,1,2.72,2.72
O700010,P1215,Cosmos Premium,Flower Seeds,2,2.92,5.84
O700011,P1013,Raspberry Mix,Fruit Plants,1,15.26,15.26
O700012,P1092,Cosmos Classic,Flower Seeds,2,2.72,5.44
O700012,P1233,Tomato Feed Classic,Soil & Fertilizer,1,8.39,8.39
O700013,P1214,Slug Control Heirloom,Pest Control,3,19.05,57.15
O700013,P1021,Knock Out Rose Collection,Roses,1,40.63,40.63
O700013,P1158,Compost Booster Classic,Soil & Fertilizer,4,27.84,111.36
O700013,P1095,Floribunda Rose Organic,Roses,2,46.45,92.9
O700014,P1021,Knock Out Rose Collection,Roses,1,40.63,40.63
O700014,P1157,Cucumber Pro,Vegetable Seeds,2,6.14,12.28
O700014,P1235,Pruner Classic,Garden Tools,1,15.39,15.39
O700014,P1257,Zucchini Mix,Vegetable Seeds,2,4.47,8.94
O700015,P1261,Organic Fertilizer Premium,Soil & Fertilizer,3,14.12,42.36
O700015,P1090,Kale Mix,Vegetable Seeds,1,8.32,8.32
O700016,P1208,Planter Box Heirloom,Raised Beds,1,176.06,176.06
O700016,P1297,Knock Out Rose Heirloom,Roses,2,31.14,62.28
O700016,P1269,Floribunda Rose Collection,Roses,1,23.2,23.2
O700017,P1249,Coneflower Organic,Perennials,1,23.77,23.77
O700017,P1088,Neem Oil Starter,Pest Control,1,14.56,14.56
O700018,P1163,Metal Raised Bed Pro,Raised Beds,2,50.86,101.72
O700018,P1050,Zinnia Collection,Flower Seeds,2,5.06,10.12
O700019,P1016,Tomato Pro,Vegetable Seeds,2,8.48,16.96
O700020,P1100,Tomato Feed Premium,Soil & Fertilizer,2,23.77,47.54
O700021,P1167,Kale Premium,Vegetable Seeds,1,5.58,5.58
O700021,P1275,Neem Oil Classic,Pest Control,2,24.0,48.0
O700021,P1048,Lavender Pro,Perennials,1,14.44,14.44
O700022,P1056,Neem Oil Heirloom,Pest Control,1,14.32,14.32
O700022,P1276,Grape Organic,Fruit Plants,1,38.2,38.2
O700022,P1164,Cucumber Heirloom,Vegetable Seeds,3,3.88,11.64
O700023,P1269,Floribunda Rose Collection,Roses,1,23.2,23.2
O700024,P1203,Cedar Raised Bed Mix,Raised Beds,3,193.19,579.57
O700024,P1104,Metal Raised Bed Mix,Raised Beds,1,135.59,135.59
O700024,P1177,Climbing Rose Classic,Roses,1,19.08,19.08
O700024,P1062,Organic Fertilizer Starter,Soil & Fertilizer,1,10.33,10.33
O700025,P1022,Microgreen Tray Premium,Indoor Growing,3,96.16,288.48
O700025,P1054,Zinnia Heirloom,Flower Seeds,1,3.2,3.2
O700025,P1243,Coneflower Starter,Perennials,1,19.11,19.11
O700026,P1144,Wildflower Collection,Flower Seeds,1,9.5,9.5
O700026,P1277,Gloves Pro,Garden Tools,1,13.97,13.97
O700027,P1284,Pruner Classic,Garden Tools,1,21.09,21.09
O700027,P1296,Hosta Premium,Perennials,3,11.21,33.63
O700027,P1239,Slug Control Collection,Pest Control,1,9.56,9.56
O700027,P1260,Pepper Classic,Vegetable Seeds,1,7.54,7.54
O700028,P1206,Hybrid Tea Rose Heirloom,Roses,1,28.31,28.31
O700029,P1235,Pruner Classic,Garden Tools,3,15.39,46.17
O700029,P1050,Zinnia Collection,Flower Seeds,1,5.06,5.06
O700029,P1268,Poppy Collection,Flower Seeds,1,5.04,5.04
O700029,P1188,Bone Meal Mix,Soil & Fertilizer,2,8.41,16.82
O700030,P1204,Wildflower Pro,Flower Seeds,1,7.42,7.42
O700030,P1072,Bone Meal Starter,Soil & Fertilizer,2,21.55,43.1
O700031,P1289,Slug Control Heirloom,Pest Control,1,9.86,9.86
O700031,P1154,Pruner Heirloom,Garden Tools,1,34.89,34.89
O700031,P1295,Grape Mix,Fruit Plants,2,23.49,46.98
O700031,P1276,Grape Organic,Fruit Plants,2,38.2,76.4
O700031,P1055,Slug Control Collection,Pest Control,1,10.16,10.16
O700032,P1175,Watering Wand Pro,Garden Tools,2,17.94,35.88
O700032,P1070,Compost Booster Heirloom,Soil & Fertilizer,1,9.53,9.53
O700033,P1286,Marigold Mix,Flower Seeds,1,8.87,8.87
O700034,P1093,Poppy Premium,Flower Seeds,2,4.63,9.26
O700034,P1243,Coneflower Starter,Perennials,1,19.11,19.11
O700035,P1273,Bone Meal Collection,Soil & Fertilizer,2,12.12,24.24
O700035,P1213,Humidity Dome Heirloom,Indoor Growing,3,82.47,247.41
O700036,P1102,Salvia Starter,Perennials,2,14.23,28.46
O700036,P1181,Hybrid Tea Rose Collection,Roses,1,21.47,21.47
O700036,P1008,Raspberry Starter,Fruit Plants,1,16.02,16.02
O700037,P1268,Poppy Collection,Flower Seeds,3,5.04,15.12
O700037,P1233,Tomato Feed Classic,Soil & Fertilizer,1,8.39,8.39
O700037,P1217,Pepper Organic,Vegetable Seeds,1,6.76,6.76
O700038,P1189,Bean Mix,Vegetable Seeds,1,8.94,8.94
O700038,P1165,Poppy Mix,Flower Seeds,1,4.45,4.45
O700038,P1161,Microgreen Tray Mix,Indoor Growing,1,45.34,45.34
O700039,P1207,Pruner Mix,Garden Tools,1,32.5,32.5
O700039,P1296,Hosta Premium,Perennials,1,11.21,11.21
O700039,P1001,Blackberry Pro,Fruit Plants,1,17.76,17.76
O700040,P1037,Seed Starter Mix Premium,Soil & Fertilizer,1,12.55,12.55
O700040,P1247,Climbing Rose Starter,Roses,2,42.53,85.06
O700040,P1217,Pepper Organic,Vegetable Seeds,3,6.76,20.28
O700040,P1228,Neem Oil Starter,Pest Control,1,20.4,20.4
O700040,P1288,Bone Meal Premium,Soil & Fertilizer,1,19.01,19.01
O700041,P1262,Zucchini Mix,Vegetable Seeds,2,5.82,11.64
O700041,P1204,Wildflower Pro,Flower Seeds,1,7.42,7.42
O700041,P1176,Herb Kit Collection,Indoor Growing,1,113.21,113.21
O700041,P1182,Hybrid Tea Rose Pro,Roses,2,36.86,73.72
O700042,P1118,Pruner Starter,Garden Tools,1,19.51,19.51
O700043,P1089,Sunflower Classic,Flower Seeds,2,7.73,15.46
O700043,P1121,Planter Box Collection,Raised Beds,1,198.27,198.27
O700043,P1064,Gloves Classic,Garden Tools,2,38.67,77.34
O700044,P1180,Climbing Rose Pro,Roses,1,40.03,40.03
O700044,P1168,Humidity Dome Organic,Indoor Growing,4,59.32,237.28
O700045,P1146,Zinnia Classic,Flower Seeds,1,6.66,6.66
O700046,P1258,Pepper Organic,Vegetable Seeds,1,7.76,7.76
O700047,P1072,Bone Meal Starter,Soil & Fertilizer,2,21.55,43.1
O700047,P1035,Marigold Starter,Flower Seeds,1,5.69,5.69
O700047,P1117,Seed Tray Classic,Garden Tools,1,6.1,6.1
O700048,P1039,Pepper Collection,Vegetable Seeds,1,8.86,8.86
O700048,P1082,Blueberry Heirloom,Fruit Plants,1,20.52,20.52
O700049,P1213,Humidity Dome Heirloom,Indoor Growing,2,82.47,164.94
O700050,P1024,Cucumber Heirloom,Vegetable Seeds,3,4.5,13.5
O700050,P1167,Kale Premium,Vegetable Seeds,2,5.58,11.16
O700051,P1198,Compost Booster Classic,Soil & Fertilizer,3,26.34,79.02
O700051,P1010,Bean Premium,Vegetable Seeds,2,4.06,8.12
O700052,P1160,Lettuce Starter,Vegetable Seeds,1,7.61,7.61
O700053,P1039,Pepper Collection,Vegetable Seeds,1,8.86,8.86
O700053,P1178,Blueberry Premium,Fruit Plants,2,34.39,68.78
O700053,P1086,Watering Wand Mix,Garden Tools,1,16.25,16.25
O700054,P1198,Compost Booster Classic,Soil & Fertilizer,2,26.34,52.68
O700054,P1236,Hosta Premium,Perennials,1,21.7,21.7
O700055,P1208,Planter Box Heirloom,Raised Beds,1,176.06,176.06
O700056,P1167,Kale Premium,Vegetable Seeds,2,5.58,11.16
O700056,P1282,Aster Pro,Flower Seeds,2,7.34,14.68
O700057,P1034,Tomato Feed Classic,Soil & Fertilizer,3,14.63,43.89
O700057,P1269,Floribunda Rose Collection,Roses,1,23.2,23.2
O700058,P1158,Compost Booster Classic,Soil & Fertilizer,1,27.84,27.84
O700058,P1216,Cucumber Pro,Vegetable Seeds,1,3.94,3.94
O700059,P1172,Bone Meal Classic,Soil & Fertilizer,2,9.69,19.38
O700059,P1106,Cedar Raised Bed Mix,Raised Beds,1,60.22,60.22
O700059,P1101,Climbing Rose Pro,Roses,2,45.51,91.02
O700060,P1044,Tomato Feed Premium,Soil & Fertilizer,4,28.88,115.52
O700060,P1110,Carrot Pro,Vegetable Seeds,1,5.76,5.76
O700061,P1275,Neem Oil Classic,Pest Control,1,24.0,24.0
O700061,P1067,Watering Wand Premium,Garden Tools,1,25.16,25.16
O700062,P1097,Blackberry Heirloom,Fruit Plants,1,22.66,22.66
O700063,P1115,Daylily Starter,Perennials,3,20.37,61.11
O700063,P1040,Sunflower Starter,Flower Seeds,1,3.57,3.57
O700064,P1198,Compost Booster Classic,Soil & Fertilizer,1,26.34,26.34
O700065,P1064,Gloves Classic,Garden Tools,3,38.67,116.01
O700065,P1260,Pepper Classic,Vegetable Seeds,2,7.54,15.08
O700066,P1125,Deer Repellent Collection,Pest Control,1,13.08,13.08
O700066,P1143,Grape Pro,Fruit Plants,1,20.65,20.65
O700066,P1225,Deer Repellent Classic,Pest Control,1,24.86,24.86
O700066,P1185,Hybrid Tea Rose Classic,Roses,1,37.64,37.64
O700066,P1088,Neem Oil Starter,Pest Control,1,14.56,14.56
O700067,P1209,Aster Collection,Flower Seeds,1,8.2,8.2
O700067,P1139,Seed Tray Pro,Garden Tools,1,30.61,30.61
O700067,P1060,Watering Wand Classic,Garden Tools,3,27.54,82.62
O700068,P1175,Watering Wand Pro,Garden Tools,2,17.94,35.88
O700069,P1281,Phlox Heirloom,Perennials,2,9.81,19.62
O700069,P1266,Cucumber Classic,Vegetable Seeds,1,4.13,4.13
O700070,P1150,Bean Organic,Vegetable Seeds,4,8.88,35.52
O700071,P1058,Hosta Organic,Perennials,2,10.81,21.62
O700071,P1061,Blueberry Heirloom,Fruit Plants,3,34.06,102.18
O700072,P1231,Seed Tray Organic,Garden Tools,2,9.4,18.8
O700072,P1076,Carrot Premium,Vegetable Seeds,1,4.41,4.41
O700072,P1236,Hosta Premium,Perennials,1,21.7,21.7
O700072,P1171,Zucchini Pro,Vegetable Seeds,1,4.32,4.32
O700073,P1197,Cucumber Mix,Vegetable Seeds,2,5.45,10.9
O700073,P1229,Planter Box Pro,Raised Beds,2,47.0,94.0
O700074,P1094,LED Grow Light Starter,Indoor Growing,1,67.38,67.38
O700074,P1299,Metal Raised Bed Pro,Raised Beds,1,78.83,78.83
O700074,P1213,Humidity Dome Heirloom,Indoor Growing,2,82.47,164.94
O700075,P1272,Seed Tray Classic,Garden Tools,3,39.3,117.9
O700075,P1078,Zucchini Heirloom,Vegetable Seeds,1,3.15,3.15
O700075,P1143,Grape Pro,Fruit Plants,1,20.65,20.65
O700076,P1153,Poppy Starter,Flower Seeds,4,6.14,24.56
O700076,P1183,Deer Repellent Heirloom,Pest Control,3,19.04,57.12
O700076,P1176,Herb Kit Collection,Indoor Growing,2,113.21,226.42
