Campaign_ID,Web_Campaign_Source,Web_Campaign_Medium,Web_Campaign_Name,Send_Date,Target_Segment,Subject_Line,Sent,Open_Rate,Click_Rate,Conversion_Rate,Revenue
C001,direct,paid_social,Indoor Winter Growing,2024-01-14,High CLV,This week is planting week,4566,,0.05,0.019,226.9
C002,meta,organic_social,Summer Pest Control,2024-01-23,Zone 5-6,Beginner-friendly picks inside,7219,,0.062,0.018,594.55
C003,google,search,Rose Weekend,2024-01-30,All Customers,Beginner-friendly picks inside,14272,,0.071,0.01,596.98
C004,google,paid_social,Spring Tomato Push,2024-02-11,High CLV,Your garden checklist is here,6848,,0.09,0.028,1021.44
C005,klaviyo,organic_social,Fall Bulb Preview,2024-02-18,Beginners,Beginner-friendly picks inside,7125,,0.023,0.023,205.79
C006,direct,organic_social,Fall Bulb Preview,2024-02-27,All Customers,This week is planting week,9246,,0.041,0.015,347.57
C007,catalog,paid_social,Raised Bed Upgrade,2024-03-09,Club Members,Your garden checklist is here,24306,,0.072,0.03,4352.77
C008,meta,paid_social,Indoor Winter Growing,2024-03-19,High CLV,Your garden checklist is here,7772,,0.042,0.008,221.11
C009,meta,paid_social,Indoor Winter Growing,2024-03-28,Beginners,Your garden checklist is here,14836,,0.03,0.008,173.29
C010,klaviyo,organic_social,Spring Tomato Push,2024-04-11,High CLV,This week is planting week,18369,,0.036,0.021,873.35
C011,klaviyo,organic_social,Seed Starting Education,2024-04-18,Beginners,This week is planting week,6916,,0.062,0.027,917.87
C012,catalog,email,Seed Starting Education,2024-04-27,All Customers,Beginner-friendly picks inside,20477,0.456,0.065,0.041,3929.84
C013,google,search,Fall Bulb Preview,2024-05-09,Lapsed Customers,Beginner-friendly picks inside,21405,,0.084,0.028,3806.61
C014,klaviyo,search,Seed Starting Education,2024-05-23,All Customers,Start your best garden yet,13544,,0.047,0.025,961.12
C015,klaviyo,organic_social,Rose Weekend,2024-05-27,Zone 5-6,Beginner-friendly picks inside,9139,,0.073,0.007,330.44
C016,meta,search,Seed Starting Education,2024-06-09,Zone 5-6,Your garden checklist is here,22291,,0.037,0.02,1238.63
C017,meta,catalog,Spring Tomato Push,2024-06-22,High CLV,Start your best garden yet,17132,,0.019,0.025,622.86
C018,catalog,organic_social,Spring Tomato Push,2024-06-28,All Customers,Beginner-friendly picks inside,20025,,0.046,0.007,495.36
C019,direct,search,Rose Weekend,2024-07-07,Lapsed Customers,Start your best garden yet,12868,,0.066,0.009,334.5
C020,meta,paid_social,Seed Starting Education,2024-07-21,All Customers,Start your best garden yet,17330,,0.04,0.023,723.96
C021,direct,email,Summer Pest Control,2024-07-27,Beginners,Start your best garden yet,5486,0.258,0.058,0.023,417.42
C022,klaviyo,paid_social,Rose Weekend,2024-08-06,All Customers,Your garden checklist is here,11608,,0.086,0.01,701.52
