Product_ID,Product_Name,Category,Price,Season,Difficulty,Sunlight,Days_To_Harvest,Inventory,Gross_Margin_Percent
P1001,Blackberry Pro,Fruit Plants,17.76,Spring,Beginner,Full Sun,53,238,0.54
P1002,Cucumber Collection,Vegetable Seeds,6.54,Spring,Intermediate,Shade,70,150,0.46
P1003,Marigold Pro,Flower Seeds,6.32,Spring,Intermediate,Shade,N/A,220,0.66
P1004,Seed Tray Classic,Garden Tools,17.7,Spring,Beginner,Indoor,N/A,386,0.39
P1005,Slug Control Classic,Pest Control,19.44,Summer,Intermediate,Indoor,N/A,1461,0.58
P1006,Seed Tray Starter,Garden Tools,34.23,Spring,Intermediate,Partial Sun,N/A,990,0.5
P1007,Deer Repellent Classic,Pest Control,12.72,Summer,Beginner,Full Sun,N/A,730,0.54
P1008,Raspberry Starter,Fruit Plants,16.02,Spring,Beginner,Full Sun,80,98,0.57
P1009,Coneflower Organic,Perennials,23.91,Spring,Intermediate,Full Sun,N/A,1321,0.37
P1010,Bean Premium,Vegetable Seeds,4.06,Spring,Beginner,Partial Sun,32,572,0.51
P1011,LED Grow Light Starter,Indoor Growing,72.36,Winter,Beginner,Shade,N/A,614,0.48
P1012,Cosmos Pro,Flower Seeds,4.87,Spring,Beginner,Partial Sun,N/A,152,0.66
P1013,Raspberry Mix,Fruit Plants,15.26,Spring,Advanced,Partial Sun,60,1092,0.52
P1014,Strawberry Heirloom,Fruit Plants,28.11,Spring,Beginner,Shade,77,1417,0.4
P1015,Grow Bag Organic,Raised Beds,77.07,Early Spring,Intermediate,Full Sun,N/A,666,0.65
P1016,Tomato Pro,Vegetable Seeds,8.48,Spring,Beginner,Indoor,73,1177,0.67
P1017,Japanese Beetle Trap Heirloom,Pest Control,11.74,Summer,Intermediate,Full Sun,N/A,637,0.35
P1018,Bone Meal Organic,Soil & Fertilizer,10.82,Spring,Beginner,Full Sun,N/A,194,0.48
P1019,Salvia Premium,Perennials,15.44,Spring,Beginner,Partial Sun,N/A,659,0.53
P1020,Grow Bag Classic,Raised Beds,45.46,Early Spring,Beginner,Partial Sun,N/A,339,0.37
P1021,Knock Out Rose Collection,Roses,40.63,Spring,Beginner,Indoor,N/A,508,0.54
P1022,Microgreen Tray Premium,Indoor Growing,96.16,Winter,Intermediate,Partial Sun,N/A,983,0.41
P1023,Lavender Mix,Perennials,13.52,Spring,Beginner,Indoor,N/A,773,0.51
P1024,Cucumber Heirloom,Vegetable Seeds,4.5,Spring,Beginner,Partial Sun,69,84,0.47
P1025,Daylily Classic,Perennials,24.95,Spring,Beginner,Indoor,N/A,9,0.43
P1026,Hosta Organic,Perennials,21.37,Spring,Beginner,Shade,N/A,908,0.51
P1027,Tomato Premium,Vegetable Seeds,4.0,Spring,Beginner,Shade,26,712,0.41
P1028,Japanese Beetle Trap Classic,Pest Control,24.03,Summer,Beginner,Indoor,N/A,332,0.5
P1029,Carrot Classic,Vegetable Seeds,5.14,Spring,Advanced,Full Sun,31,37,0.53
P1030,Seed Starter Mix Mix,Soil & Fertilizer,9.56,Spring,Beginner,Indoor,N/A,1441,0.53
P1031,Tomato Collection,Vegetable Seeds,3.08,Spring,Intermediate,Full Sun,39,1237,0.61
P1032,Bone Meal Collection,Soil & Fertilizer,19.84,Spring,Beginner,Indoor,N/A,157,0.53
P1033,Lettuce Heirloom,Vegetable Seeds,3.56,Spring,Intermediate,Shade,54,1097,0.46
P1034,Tomato Feed Classic,Soil & Fertilizer,14.63,Spring,Beginner,Indoor,N/A,280,0.35
P1035,Marigold Starter,Flower Seeds,5.69,Spring,Beginner,Shade,N/A,800,0.46
P1036,Bone Meal Premium,Soil & Fertilizer,20.51,Spring,Beginner,Full Sun,N/A,1000,0.59
P1037,Seed Starter Mix Premium,Soil & Fertilizer,12.55,Spring,Intermediate,Partial Sun,N/A,25,0.55
P1038,Humidity Dome Premium,Indoor Growing,40.09,Winter,Advanced,Partial Sun,N/A,322,0.44
P1039,Pepper Collection,Vegetable Seeds,8.86,Spring,Intermediate,Partial Sun,54,1446,0.53
P1040,Sunflower Starter,Flower Seeds,3.57,Spring,Advanced,Shade,N/A,758,0.52
P1041,Strawberry Classic,Fruit Plants,33.99,Spring,Advanced,Shade,91,46,0.6
P1042,Floribunda Rose Starter,Roses,40.05,Spring,Beginner,Partial Sun,N/A,1004,0.59
P1043,Cedar Raised Bed Premium,Raised Beds,127.37,Early Spring,Beginner,Indoor,N/A,23,0.41
P1044,Tomato Feed Premium,Soil & Fertilizer,28.88,Spring,Beginner,Full Sun,N/A,718,0.49
P1045,Lavender Pro,Perennials,22.34,Spring,Beginner,Partial Sun,N/A,1298,0.5
P1046,Phlox Heirloom,Perennials,12.05,Spring,Intermediate,Shade,N/A,42,0.4
P1047,Tomato Feed Premium,Soil & Fertilizer,19.0,Spring,Beginner,Partial Sun,N/A,583,0.36
P1048,Lavender Pro,Perennials,14.44,Spring,Intermediate,Indoor,N/A,1378,0.66
P1049,Poppy Classic,Flower Seeds,3.59,Spring,Beginner,Full Sun,N/A,372,0.39
P1050,Zinnia Collection,Flower Seeds,5.06,Spring,Beginner,Partial Sun,N/A,1132,0.43
P1051,Pruner Organic,Garden Tools,10.12,Spring,Beginner,Partial Sun,N/A,762,0.39
P1052,Organic Fertilizer Mix,Soil & Fertilizer,7.87,Spring,Beginner,Shade,N/A,850,0.47
P1053,Deer Repellent Classic,Pest Control,20.77,Summer,Beginner,Partial Sun,N/A,295,0.46
P1054,Zinnia Heirloom,Flower Seeds,3.2,Spring,Intermediate,Full Sun,N/A,598,0.54
P1055,Slug Control Collection,Pest Control,10.16,Summer,Beginner,Indoor,N/A,88,0.53
P1056,Neem Oil Heirloom,Pest Control,14.32,Summer,Intermediate,Full Sun,N/A,95,0.57
P1057,LED Grow Light Starter,Indoor Growing,101.72,Winter,Intermediate,Partial Sun,N/A,302,0.45
P1058,Hosta Organic,Perennials,10.81,Spring,Intermediate,Shade,N/A,1498,0.67
P1059,Trowel Pro,Garden Tools,23.81,Spring,Advanced,Full Sun,N/A,213,0.59
P1060,Watering Wand Classic,Garden Tools,27.54,Spring,Beginner,Shade,N/A,1430,0.54
P1061,Blueberry Heirloom,Fruit Plants,34.06,Spring,Beginner,Full Sun,57,381,0.49
P1062,Organic Fertilizer Starter,Soil & Fertilizer,10.33,Spring,Intermediate,Full Sun,N/A,610,0.54
P1063,Bean Collection,Vegetable Seeds,5.55,Spring,Beginner,Indoor,71,1297,0.66
P1064,Gloves Classic,Garden Tools,38.67,Spring,Beginner,Indoor,N/A,1296,0.51
P1065,Gloves Collection,Garden Tools,20.79,Spring,Beginner,Indoor,N/A,1006,0.65
P1066,Trowel Organic,Garden Tools,10.86,Spring,Beginner,Full Sun,N/A,84,0.56
P1067,Watering Wand Premium,Garden Tools,25.16,Spring,Intermediate,Full Sun,N/A,1040,0.42
P1068,Compost Booster Starter,Soil & Fertilizer,26.44,Spring,Beginner,Shade,N/A,984,0.47
P1069,Pepper Organic,Vegetable Seeds,7.76,Spring,Intermediate,Indoor,95,772,0.65
P1070,Compost Booster Heirloom,Soil & Fertilizer,9.53,Spring,Beginner,Indoor,N/A,741,0.62
P1071,Kale Mix,Vegetable Seeds,8.06,Spring,Advanced,Indoor,89,330,0.59
P1072,Bone Meal Starter,Soil & Fertilizer,21.55,Spring,Beginner,Partial Sun,N/A,620,0.37
P1073,Bone Meal Heirloom,Soil & Fertilizer,14.24,Spring,Intermediate,Partial Sun,N/A,837,0.46
P1074,Compost Booster Mix,Soil & Fertilizer,29.98,Spring,Beginner,Shade,N/A,845,0.64
P1075,Hosta Pro,Perennials,16.44,Spring,Intermediate,Shade,N/A,1301,0.52
P1076,Carrot Premium,Vegetable Seeds,4.41,Spring,Beginner,Shade,54,1128,0.49
P1077,Zinnia Classic,Flower Seeds,2.75,Spring,Beginner,Partial Sun,N/A,1146,0.47
P1078,Zucchini Heirloom,Vegetable Seeds,3.15,Spring,Beginner,Shade,42,608,0.37
P1079,Deer Repellent Classic,Pest Control,24.32,Summer,Advanced,Shade,N/A,1096,0.44
P1080,Japanese Beetle Trap Classic,Pest Control,16.24,Summer,Beginner,Shade,N/A,412,0.61
P1081,Climbing Rose Heirloom,Roses,37.46,Spring,Advanced,Shade,N/A,362,0.64
P1082,Blueberry Heirloom,Fruit Plants,20.52,Spring,Beginner,Indoor,25,939,0.54
P1083,Pruner Starter,Garden Tools,16.99,Spring,Intermediate,Indoor,N/A,353,0.63
P1084,Hosta Starter,Perennials,19.37,Spring,Beginner,Full Sun,N/A,1420,0.61
P1085,Blackberry Collection,Fruit Plants,29.02,Spring,Beginner,Indoor,38,163,0.67
P1086,Watering Wand Mix,Garden Tools,16.25,Spring,Beginner,Partial Sun,N/A,1199,0.36
P1087,Organic Fertilizer Heirloom,Soil & Fertilizer,17.67,Spring,Intermediate,Partial Sun,N/A,366,0.55
P1088,Neem Oil Starter,Pest Control,14.56,Summer,Intermediate,Shade,N/A,219,0.66
P1089,Sunflower Classic,Flower Seeds,7.73,Spring,Intermediate,Partial Sun,N/A,218,0.61
P1090,Kale Mix,Vegetable Seeds,8.32,Spring,Beginner,Full Sun,59,141,0.36
P1091,Compost Booster Collection,Soil & Fertilizer,28.35,Spring,Intermediate,Shade,N/A,670,0.59
P1092,Cosmos Classic,Flower Seeds,2.72,Spring,Beginner,Partial Sun,N/A,650,0.64
P1093,Poppy Premium,Flower Seeds,4.63,Spring,Intermediate,Indoor,N/A,1380,0.38
P1094,LED Grow Light Starter,Indoor Growing,67.38,Winter,Beginner,Shade,N/A,18,0.57
P1095,Floribunda Rose Organic,Roses,46.45,Spring,Beginner,Full Sun,N/A,1499,0.62
P1096,Lavender Classic,Perennials,17.84,Spring,Intermediate,Full Sun,N/A,227,0.65
P1097,Blackberry Heirloom,Fruit Plants,22.66,Spring,Advanced,Partial Sun,69,1286,0.52
P1098,Aster Mix,Flower Seeds,8.98,Spring,Beginner,Partial Sun,N/A,176,0.64
P1099,Daylily Classic,Perennials,21.01,Spring,Advanced,Shade,N/A,83,0.36
P1100,Tomato Feed Premium,Soil & Fertilizer,23.77,Spring,Beginner,Partial Sun,N/A,327,0.55
P1101,Climbing Rose Pro,Roses,45.51,Spring,Beginner,Partial Sun,N/A,72,0.41
